ds,y,hour,is_weekend,instances_count,instances
2025-11-14 01:07:00,0.32548686830981105,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:08:00,0.32510063878866075,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:09:00,0.3245816925390492,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:10:00,0.3253313887891716,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:11:00,0.3252737722453786,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:12:00,0.3253122589613309,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:13:00,0.32540677279917857,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:14:00,0.32459673528201,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:15:00,0.3255694047183579,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:16:00,0.32564461843316156,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:17:00,0.3246328946301835,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:18:00,0.3249217152950296,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:19:00,0.32450301615511123,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:20:00,0.3254722796873925,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:21:00,0.3260846044734961,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:22:00,0.32560976468154684,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:23:00,0.32581593540771053,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:24:00,0.32535006449647,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:25:00,0.3250848013347511,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:26:00,0.32535840896143314,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:27:00,0.3255164996751903,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:28:00,0.3259262299344,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:29:00,0.3250573838070151,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:30:00,0.32586781867965814,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:31:00,0.3254593372519395,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:32:00,0.323789081897688,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:33:00,0.32440486935292595,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:34:00,0.3249804103751104,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:35:00,0.32706153128992715,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:36:00,0.3258260963548425,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:37:00,0.3243256253183101,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:38:00,0.32473700176448533,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:39:00,0.3257546291345121,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:40:00,0.32478127851735095,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:41:00,0.3251465617284918,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:42:00,0.32677430004697877,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:43:00,0.3258362573019745,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:44:00,0.32498585982161693,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:45:00,0.3257104091467143,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:46:00,0.32480517661088476,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:47:00,0.32502485742317927,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:48:00,0.32525679949011344,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:49:00,0.32506044912067505,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:50:00,0.32569065490312815,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:51:00,0.32528682821096716,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:52:00,0.3248902674474815,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:53:00,0.3249884710147346,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:54:00,0.3249197852827252,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:55:00,0.32516200182692695,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:56:00,0.32547188233191804,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:57:00,0.3257853958012469,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:58:00,0.3255288176948978,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:59:00,0.32498790336405686,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:00:00,0.3249520278412222,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:01:00,0.3254615510895828,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:02:00,0.3254194314092927,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:03:00,0.32531566486539754,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:04:00,0.32531901400439633,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:05:00,0.3266100787059018,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:06:00,0.32517136806311003,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:07:00,0.32472485403998125,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:08:00,0.325892227658802,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:09:00,0.3243573569911971,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:10:00,0.32470771098951273,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:11:00,0.32493323860378825,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:12:00,0.3251432693545608,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:13:00,0.32489855514737687,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:14:00,0.3247818461680287,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:15:00,0.32509547316749304,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:16:00,0.32526735779271987,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:17:00,0.324117524579842,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:18:00,0.324613480977004,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:19:00,0.32560442876517587,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:20:00,0.325775461914386,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:21:00,0.3271316929136987,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:22:00,0.3253658451853118,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:23:00,0.3246227904481193,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:24:00,0.3246738790091181,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:25:00,0.32651391868108864,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:26:00,0.3259668169578601,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:27:00,0.3262803871922567,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:28:00,0.3249302300551961,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:29:00,0.3246925547164165,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:30:00,0.325280016402834,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:31:00,0.32502150828418047,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:32:00,0.32465968774217396,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:33:00,0.32430927697879053,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:34:00,0.3261250779668206,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:35:00,0.32562940539499746,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:36:00,0.32535006449647,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:37:00,0.32549719955214634,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:38:00,0.32381485323845843,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:39:00,0.32428571947566337,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:40:00,0.32520633534486026,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:41:00,0.32537708466873155,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:42:00,0.3267340536139253,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:43:00,0.32473461763163874,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:44:00,0.3248082986896125,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:45:00,0.3249804103751104,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:46:00,0.3252213213227532,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:47:00,0.32424291861455995,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:48:00,0.32481970846823555,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:49:00,0.324837873289924,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:50:00,0.32481482667240674,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:51:00,0.32494640809951236,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:52:00,0.3239410419841253,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:53:00,0.32424223743374664,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:54:00,0.3244658918007855,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:55:00,0.32599905951635705,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:56:00,0.32639340644219944,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:57:00,0.32774186062722677,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:58:00,0.3257499743989544,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 02:59:00,0.3259513200943572,2,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:00:00,0.3252182560090933,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:01:00,0.325994518310935,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:02:00,0.3252981812245224,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:03:00,0.3257240327629806,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:04:00,0.326187916896849,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:05:00,0.3265202763686796,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:06:00,0.3258936467854964,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:07:00,0.3260071769210491,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:08:00,0.32459429438409565,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:09:00,0.32455342353529665,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:10:00,0.3258473264901909,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:11:00,0.3266382341795188,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:12:00,0.3274051870102452,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:13:00,0.325284841433595,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:14:00,0.32524504912108376,3,0,6,"host01, host02, host03, master01, master02, rpi01"
